Nazwa Planety,Gospodarz Planety,Metoda Odkrycia,Instytucja Odkrywająca,Typ Spektralny,Stosunek Metaliczności Gwiazdy,Nr,Liczba Gwiazd,Liczba Planet,Rok Odkrycia,Okres Orbitalny (dni),Pół Oś Orbity,Masa,Mimośród,Strumień Insolacji,Temperatura Równowagi,Efektywna Temperatura Gwiazdy,Promień Gwiazdy,Masa Gwiazdy,Metaliczność Gwiazdy,Grawitacja Powierzchniowa Gwiazdy,Odległość,Wielkość Magnitudo (Gaia)
EPIC 212297394 c,EPIC 212297394,Transit,K2,,[Fe/H],145,1,2,2016,5.213965,,,,,866.0,5171.0,0.8,0.83,-0.03,4.55,418.395,14.1864
EPIC 212424622 b,EPIC 212424622,Transit,K2,,,146,1,1,2019,18.0983,,,,,,,,1.11,,,611.804,13.2026
EPIC 212499991 b,EPIC 212499991,Transit,K2,,,147,1,1,2019,34.885,,,,,,,,0.91,,,283.29,13.3118
EPIC 212587672 b,EPIC 212587672,Transit,K2,,[Fe/H],148,1,2,2019,15.28078,,,,,756.0,6004.0,0.98,0.99,-0.18,4.45,320.07,12.2038
EPIC 212587672 c,EPIC 212587672,Transit,K2,,[Fe/H],149,1,2,2016,23.228555,,,,,658.0,6004.0,0.98,0.99,-0.18,4.45,320.07,12.2038
EPIC 212624936 b,EPIC 212624936,Transit,K2,,[Fe/H],150,1,2,2021,0.578657,,,,,,5765.0,0.93,,-0.39,4.4,561.929,13.8326
EPIC 212624936 c,EPIC 212624936,Transit,K2,,[Fe/H],151,1,2,2021,11.811437,,,,,,5765.0,0.93,,-0.39,4.4,561.929,13.8326
EPIC 212737443 b,EPIC 212737443,Transit,K2,K3,[Fe/H],152,1,2,2019,13.603,0.098,,0.2,,536.0,4684.0,0.67,0.69,-0.137,4.62,336.25,14.4776
EPIC 212737443 c,EPIC 212737443,Transit,K2,K3,[Fe/H],153,1,2,2019,65.55,0.28,,0.2,,316.0,4684.0,0.67,0.69,-0.137,4.62,336.25,14.4776
EPIC 220492298 b,EPIC 220492298,Transit,K2,,[Fe/H],154,1,1,2021,0.762406,,,,,,5620.0,0.89,,0.28,4.5,624.512,13.7756
EPIC 220554210 c,K2-282,Transit,K2,,,155,1,2,2019,0.70531,,,,,,,,0.94,,,496.289,13.8183
EPIC 220674823 b,EPIC 220674823,Transit,K2,,[Fe/H],156,1,2,2016,0.571331,0.0134,,,,2119.0,5617.0,0.98,0.97,0.13,4.45,244.59,11.9535
EPIC 220674823 c,EPIC 220674823,Transit,K2,,[Fe/H],157,1,2,2016,13.339079,0.1091,,,,741.0,5617.0,0.98,0.97,0.13,4.45,244.59,11.9535
EPIC 228836835 b,EPIC 228836835,Transit,K2,,[Fe/H],158,1,1,2021,0.728113,,,,,,3782.0,0.32,,-0.18,5.0,150.124,15.4185
EPIC 246851721 b,EPIC 246851721,Transit,K2,F5 V,[Fe/H],159,2,1,2018,6.180235,0.07229,953.49,,642.0,1401.0,6202.0,1.59,1.32,0.141,4.16,372.632,11.2549
EPIC 248847494 b,EPIC 248847494,Transit,K2,,[Fe/H],160,1,1,2018,3650.0,4.5,4131.79,0.0,0.19,183.0,4898.0,2.7,0.9,-0.23,3.52,551.886,12.1722
EPIC 249893012 b,EPIC 249893012,Transit,K2,G8 IV/V,[Fe/H],161,1,3,2020,3.5951,0.047,8.75,0.06,1037.0,1616.0,5430.0,1.71,1.05,0.2,3.99,321.296,11.4019
EPIC 249893012 c,EPIC 249893012,Transit,K2,G8 IV/V,[Fe/H],162,1,3,2020,15.624,0.13,14.67,0.07,160.0,990.0,5430.0,1.71,1.05,0.2,3.99,321.296,11.4019
EPIC 249893012 d,EPIC 249893012,Transit,K2,G8 IV/V,[Fe/H],163,1,3,2020,35.747,0.22,10.18,0.15,53.0,752.0,5430.0,1.71,1.05,0.2,3.99,321.296,11.4019
FU Tau b,FU Tau,Imaging,Spitzer Space Telescope,M7.25,,164,1,1,2008,,800.0,5085.28,,,2375.0,2838.0,,0.05,,,,15.2412
G 264-012 b,G 264-012,Radial Velocity,Calar Alto Observatory,M4.0 V,[Fe/H],165,1,2,2021,2.30538,0.02279,2.5,,20.5,587.0,3326.0,0.3,0.3,0.1,4.85,16.009,11.7617
G 264-012 c,G 264-012,Radial Velocity,Calar Alto Observatory,M4.0 V,[Fe/H],166,1,2,2021,8.0518,0.0525,3.75,,3.87,387.0,3326.0,0.3,0.3,0.1,4.85,16.009,11.7617
G 9-40 b,G 9-40,Transit,K2,M2.5 V,[Fe/H],167,1,1,2019,5.746007,0.0385,,0.0,7.2,456.0,3348.0,0.31,0.29,0.04,4.93,27.9276,12.7331
GJ 1061 b,GJ 1061,Radial Velocity,La Silla Observatory,M5.5 V,[Fe/H],168,1,3,2020,3.204,0.021,1.37,0.31,3.8,,2953.0,0.16,0.12,-0.08,,3.67278,10.9889
GJ 1061 c,GJ 1061,Radial Velocity,La Silla Observatory,M5.5 V,[Fe/H],169,1,3,2020,6.689,0.035,1.74,0.29,1.4,,2953.0,0.16,0.12,-0.08,,3.67278,10.9889
GJ 1061 d,GJ 1061,Radial Velocity,La Silla Observatory,M5.5 V,[Fe/H],170,1,3,2020,13.031,0.054,1.64,0.53,0.6,,2953.0,0.16,0.12,-0.08,,3.67278,10.9889
GJ 1132 b,GJ 1132,Transit,Cerro Tololo Inter-American Observatory,,,171,1,2,2015,1.628931,0.0153,1.66,0.22,,529.0,3270.0,0.21,0.18,,,12.613,12.138
GJ 1132 c,GJ 1132,Radial Velocity,La Silla Observatory,,,172,1,2,2018,8.929,0.0476,2.64,0.27,,300.0,3270.0,0.21,0.18,,,12.613,12.138
GJ 1148 b,GJ 1148,Radial Velocity,W. M. Keck Observatory,,,173,1,2,2010,41.38,0.166,96.7,0.38,,,3287.0,0.36,0.34,,4.87,11.0143,10.5769
GJ 1148 c,GJ 1148,Radial Velocity,Calar Alto Observatory,,,174,1,2,2017,532.58,0.912,68.06,0.342,,,3287.0,0.36,0.34,,4.87,11.0143,10.5769
GJ 1151 b,GJ 1151,Radial Velocity,Multiple Observatories,M4.5,,175,1,1,2021,2.018,0.01735,2.5,0.0,,,,,,,,8.03625,11.6938
GJ 1214 b,GJ 1214,Transit,MEarth Project,M4 V,[Fe/H],176,1,1,2009,1.58040433,0.0149,8.17,0.063,21.0,596.0,3250.0,0.21,0.18,0.29,5.03,14.6427,13.0089
GJ 1252 b,GJ 1252,Transit,Transiting Exoplanet Survey Satellite (TESS),M3,[Fe/H],177,1,1,2020,0.5182349,0.00916,2.09,0.0,,1089.0,3458.0,0.39,0.38,0.1,,20.373,11.2364
GJ 1265 b,GJ 1265,Radial Velocity,Calar Alto Observatory,M4.5 V,[Fe/H],178,1,1,2018,3.6511,0.026,7.4,0.04,,,3236.0,0.19,0.18,-0.04,5.09,10.2525,12.0807
GJ 143 b,GJ 143,Transit,Transiting Exoplanet Survey Satellite (TESS),K4.5,[Fe/H],179,1,2,2019,35.61253,0.1915,22.7,0.188,,422.0,4640.0,0.69,0.73,0.003,4.61,16.32,7.67906
GJ 15 A b,GJ 15 A,Radial Velocity,W. M. Keck Observatory,M1,[Fe/H],180,2,2,2014,11.4407,0.072,3.03,0.094,,,3607.0,0.38,0.38,-0.34,4.87,3.56228,7.2162
GJ 15 A c,GJ 15 A,Radial Velocity,Roque de los Muchachos Observatory,M1,[Fe/H],181,2,2,2018,7600.0,5.4,36.0,0.27,,,3607.0,0.38,0.38,-0.34,4.87,3.56228,7.2162
GJ 160.2 b,GJ 160.2,Radial Velocity,Multiple Observatories,M0 V,,182,1,1,2014,5.2354,0.053,10.2,0.06,,,4347.0,,0.69,,,25.8557,9.20154
GJ 163 b,GJ 163,Radial Velocity,La Silla Observatory,,,183,1,3,2013,8.63182,0.0607,10.6,0.073,,,,,,,,15.1285,10.6771
GJ 163 c,GJ 163,Radial Velocity,La Silla Observatory,,,184,1,3,2013,25.63058,0.1254,6.8,0.099,,,,,,,,15.1285,10.6771
GJ 163 d,GJ 163,Radial Velocity,La Silla Observatory,,,185,1,3,2013,603.95116,1.0304,29.4,0.373,,,,,,,,15.1285,10.6771
GJ 179 b,GJ 179,Radial Velocity,W. M. Keck Observatory,M3.5 V,[Fe/H],186,1,1,2009,2288.0,2.41,260.61,0.21,,,3370.0,0.38,0.36,0.3,4.83,12.356,10.7055
GJ 180 b,GJ 180,Radial Velocity,Multiple Observatories,,,187,1,3,2014,17.133,0.092,6.49,0.07,,,,,0.43,,,11.9407,9.93395
GJ 180 c,GJ 180,Radial Velocity,Multiple Observatories,M2 V,,188,1,3,2014,24.329,0.129,6.4,0.09,,,3371.0,,0.43,,,11.9407,9.93395
GJ 180 d,GJ 180,Radial Velocity,Multiple Facilities,,,189,1,3,2020,106.3,0.309,7.56,0.14,,,,,0.43,,,11.9407,9.93395
GJ 2056 b,GJ 2056,Radial Velocity,Multiple Observatories,,,190,1,1,2020,69.971,0.283,16.2,0.72,,,,,0.62,,,28.4434,9.72281
GJ 229 A c,GJ 229,Radial Velocity,Multiple Facilities,,,191,2,2,2020,121.995,0.339,7.268,0.19,,,,,0.58,,,5.75624,7.30724
GJ 229 b,GJ 229,Radial Velocity,Multiple Observatories,,,192,2,2,2014,526.115,0.898,8.478,0.1,,,,,0.58,,,5.75624,7.30724
GJ 251 b,GJ 251,Radial Velocity,W. M. Keck Observatory,M3.0 V,[Fe/H],193,1,1,2020,14.238,0.0818,4.0,0.1,2.53,351.0,3451.0,0.36,0.36,-0.03,4.96,5.58057,8.85518
GJ 27.1 b,GJ 27.1,Radial Velocity,Multiple Observatories,M0.5 V,,194,1,1,2014,15.819,0.101,13.0,0.08,,,3542.0,,0.53,,,23.6062,10.579
GJ 273 b,GJ 273,Radial Velocity,La Silla Observatory,M3.5,[Fe/H],195,1,2,2017,18.6498,0.091101,2.89,0.1,1.06,,3382.0,0.29,0.29,0.09,,5.921535,
GJ 273 c,GJ 273,Radial Velocity,La Silla Observatory,M3.5,[Fe/H],196,1,2,2017,4.7234,0.036467,1.18,0.17,6.66,,3382.0,0.29,0.29,0.09,,5.921535,
GJ 3021 b,GJ 3021,Radial Velocity,La Silla Observatory,G6 V,[Fe/H],197,2,1,2000,133.71,0.49,1071.04,0.511,,350.0,5540.0,0.9,0.9,0.1,4.7,17.5559,6.39729
GJ 3082 b,GJ 3082,Radial Velocity,Multiple Facilities,,,198,1,1,2020,11.949,0.079,8.2,0.22,,,,,0.47,,,16.6186,10.2011
GJ 3138 b,GJ 3138,Radial Velocity,La Silla Observatory,M0,[Fe/H],199,1,3,2017,1.22003,0.0197,1.78,0.19,118.1,,3717.0,0.5,0.68,-0.3,,28.4712,10.1924
GJ 3138 c,GJ 3138,Radial Velocity,La Silla Observatory,M0,[Fe/H],200,1,3,2017,5.974,0.057,4.18,0.11,13.9,,3717.0,0.5,0.68,-0.3,,28.4712,10.1924
GJ 3138 d,GJ 3138,Radial Velocity,La Silla Observatory,M0,[Fe/H],201,1,3,2017,257.8,0.698,10.5,0.32,0.1,,3717.0,0.5,0.68,-0.3,,28.4712,10.1924
GJ 317 b,GJ 317,Radial Velocity,W. M. Keck Observatory,,,202,1,2,2007,695.66,1.151,557.1,0.07,,,,,0.42,,,15.1968,10.7539
GJ 317 c,GJ 317,Radial Velocity,W. M. Keck Observatory,,,203,1,2,2018,6739.323,5.23,522.5,0.17,,,,,0.42,,,15.1968,10.7539
GJ 328 b,GJ 328,Radial Velocity,McDonald Observatory,M1,[M/H],204,1,1,2013,4100.0,4.5,731.0,0.37,,,3900.0,,0.69,0.0,,20.5266,9.2861
GJ 3293 b,GJ 3293,Radial Velocity,La Silla Observatory,M2.5,[Fe/H],205,1,4,2015,30.5987,0.14339,23.54,0.06,1.07,,3466.0,0.4,0.42,0.02,,20.1903,10.9788
GJ 3293 c,GJ 3293,Radial Velocity,La Silla Observatory,M2.5,[Fe/H],206,1,4,2015,122.6196,0.36175,21.09,0.11,0.17,,3466.0,0.4,0.42,0.02,,20.1903,10.9788
GJ 3293 d,GJ 3293,Radial Velocity,La Silla Observatory,M2.5,[Fe/H],207,1,4,2017,48.1345,0.19394,7.6,0.12,0.59,,3466.0,0.4,0.42,0.02,,20.1903,10.9788
GJ 3293 e,GJ 3293,Radial Velocity,La Silla Observatory,M2.5,[Fe/H],208,1,4,2017,13.2543,0.08208,3.28,0.21,3.34,,3466.0,0.4,0.42,0.02,,20.1903,10.9788
GJ 3323 b,GJ 3323,Radial Velocity,La Silla Observatory,M4,[Fe/H],209,1,2,2017,5.3636,0.03282,2.02,0.23,2.58,,3159.0,0.12,0.16,-0.27,,5.37484,10.6467
GJ 3323 c,GJ 3323,Radial Velocity,La Silla Observatory,M4,[Fe/H],210,1,2,2017,40.54,0.1264,2.31,0.17,0.17,,3159.0,0.12,0.16,-0.27,,5.37484,10.6467
GJ 3341 b,GJ 3341,Radial Velocity,La Silla Observatory,M2.5,[Fe/H],211,1,1,2015,14.207,0.089,6.6,0.31,,,3526.0,0.44,0.47,-0.09,,23.619,11.1029
GJ 338 B b,GJ 338 B,Radial Velocity,Calar Alto Observatory,M0.0 V,[Fe/H],212,2,1,2020,24.45,0.141,10.27,0.11,,391.0,4005.0,0.58,0.64,-0.03,4.68,6.33256,7.04775
GJ 3470 b,GJ 3470,Radial Velocity,La Silla Observatory,,[Fe/H],213,1,1,2012,3.3366496,0.0355,13.9,,,594.0,3600.0,0.55,0.54,0.2,4.7,29.4214,11.3537
GJ 3473 b,GJ 3473,Transit,Transiting Exoplanet Survey Satellite (TESS),,[Fe/H],214,2,2,2020,1.1980035,0.01589,1.86,0.0,59.4,773.0,3347.0,0.36,0.36,0.11,4.81,27.3644,12.465
GJ 3473 c,GJ 3473,Radial Velocity,Multiple Observatories,,[Fe/H],215,2,2,2020,15.509,0.0876,7.41,0.0,1.95,329.0,3347.0,0.36,0.36,0.11,4.81,27.3644,12.465
GJ 3512 b,GJ 3512,Radial Velocity,Calar Alto Observatory,M5.5 V,[Fe/H],216,1,1,2019,203.59,0.338,147.15529,0.4356,,,3081.0,0.14,0.12,-0.07,,9.48637,13.1117
GJ 357 b,GJ 357,Transit,Transiting Exoplanet Survey Satellite (TESS),M2.5 V,[Fe/H],217,1,3,2019,3.93072,0.035,1.84,,12.6,525.0,3505.0,0.34,0.34,-0.12,4.94,9.44181,9.88036
GJ 357 c,GJ 357,Radial Velocity,Multiple Observatories,M2.5 V,[Fe/H],218,1,3,2019,9.1247,0.061,3.4,,4.45,401.0,3505.0,0.34,0.34,-0.12,4.94,9.44181,9.88036
GJ 357 d,GJ 357,Radial Velocity,Multiple Observatories,M2.5 V,[Fe/H],219,1,3,2019,55.661,0.204,6.1,,0.38,220.0,3505.0,0.34,0.34,-0.12,4.94,9.44181,9.88036
GJ 3634 b,GJ 3634,Radial Velocity,La Silla Observatory,M2.5,,220,1,1,2010,2.64561,0.0287,8.4,0.08,,,,0.43,0.45,,,20.3779,10.9233
GJ 3779 b,GJ 3779,Radial Velocity,Calar Alto Observatory,M4.0 V,[Fe/H],221,1,1,2018,3.0232,0.026,8.0,0.07,,,3324.0,0.28,0.27,0.0,5.05,13.743,11.6266
GJ 393 b,GJ 393,Radial Velocity,Multiple Observatories,M2.0 V,[Fe/H],222,1,1,2021,7.02679,0.05402,1.71,,9.21,485.0,3579.0,0.43,0.43,-0.09,4.88,7.03149,8.67373
GJ 3942 b,GJ 3942,Radial Velocity,Roque de los Muchachos Observatory,M0,[Fe/H],223,1,1,2017,6.905,0.0608,7.14,0.121,,590.0,3867.0,0.61,0.63,-0.04,4.65,16.9287,9.40765
GJ 3998 b,GJ 3998,Radial Velocity,Roque de los Muchachos Observatory,M1,[Fe/H],224,1,2,2016,2.64977,0.029,2.47,0.0,,,3722.0,0.49,0.5,-0.16,4.77,18.1459,9.98337
GJ 3998 c,GJ 3998,Radial Velocity,Roque de los Muchachos Observatory,M1,[Fe/H],225,1,2,2016,13.74,0.089,6.26,0.049,,,3722.0,0.49,0.5,-0.16,4.77,18.1459,9.98337
GJ 411 b,GJ 411,Radial Velocity,Haute-Provence Observatory,M1.5 V,[Fe/H],226,1,2,2019,12.946,0.0789,2.69,0.12,3.13,370.0,3601.0,0.39,0.39,-0.09,4.87,5.675773,
GJ 414 A b,GJ 414 A,Radial Velocity,W. M. Keck Observatory,K7 V,[Fe/H],227,2,2,2021,50.8,0.2324,7.6,0.45,,309.0,4120.0,0.68,0.65,0.24,4.65,11.8893,7.72808
GJ 414 A c,GJ 414 A,Radial Velocity,W. M. Keck Observatory,K7 V,[Fe/H],228,2,2,2021,749.83,1.4,53.83,0.105,,125.0,4120.0,0.68,0.65,0.24,4.65,11.8893,7.72808
GJ 422 b,GJ 422,Radial Velocity,Multiple Observatories,,,229,1,1,2014,20.129,0.111,11.07,0.11,,,,,0.35,,,12.6631,10.4771
GJ 4276 b,GJ 4276,Radial Velocity,Calar Alto Observatory,M4.0,[Fe/H],230,1,1,2019,13.352,0.082,16.57,0.37,,,3387.0,0.41,0.41,0.12,4.97,21.3362,11.6605
GJ 433 b,GJ 433,Radial Velocity,La Silla Observatory,,,231,1,3,2011,7.3705,0.062,6.043,0.04,,,,,0.48,,,9.06456,8.89138
GJ 433 c,GJ 433,Radial Velocity,Multiple Observatories,,,232,1,3,2014,5094.105,4.819,32.422,0.12,,,,,0.48,,,9.06456,8.89138
GJ 433 d,GJ 433,Radial Velocity,Multiple Facilities,,,233,1,3,2020,36.059,0.178,5.223,0.07,,,,,0.48,,,9.06456,8.89138
GJ 436 b,GJ 436,Radial Velocity,W. M. Keck Observatory,,,234,1,1,2004,2.64388312,0.0291,22.1,0.13827,,,,0.46,0.47,,4.79,9.75321,9.57148
GJ 480 b,GJ 480,Radial Velocity,Multiple Observatories,M3.5 Ve,,235,1,1,2020,9.567,0.068,13.2,0.1,,,,,0.45,,,14.2358,10.3249
GJ 486 b,GJ 486,Radial Velocity,Calar Alto Observatory,M3.5 V,[Fe/H],236,1,1,2021,1.467119,0.01734,2.82,0.05,40.3,701.0,3340.0,0.33,0.32,0.07,,8.07426,10.094
GJ 504 b,GJ 504,Imaging,Subaru Telescope,G0 V,[Fe/H],237,1,1,2013,,43.5,1271.3,,,510.0,6234.0,,1.22,0.28,4.6,17.5299,5.04156
GJ 536 b,GJ 536,Radial Velocity,La Silla Observatory,M1 V,[Fe/H],238,1,1,2016,8.7076,0.06661,5.36,0.08,,,3685.0,0.5,0.52,-0.08,4.75,10.4092,8.85881
GJ 581 b,GJ 581,Radial Velocity,La Silla Observatory,,,239,1,3,2005,5.3686,0.04061,15.8,0.0,,,3396.0,0.33,0.31,,4.89,6.2981,9.411
GJ 581 c,GJ 581,Radial Velocity,La Silla Observatory,,,240,1,3,2007,12.914,0.0721,5.5,0.0,,,3396.0,0.33,0.31,,4.89,6.2981,9.411
GJ 581 e,GJ 581,Radial Velocity,La Silla Observatory,,,241,1,3,2009,3.149,0.02815,1.7,0.0,,,3396.0,0.33,0.31,,4.89,6.2981,9.411
GJ 625 b,GJ 625,Radial Velocity,Multiple Observatories,M2,[Fe/H],242,1,1,2017,14.628,0.078361,2.82,0.13,,,3499.0,0.31,0.3,-0.38,4.94,6.47249,9.13702
GJ 649 b,GJ 649,Radial Velocity,W. M. Keck Observatory,M1.5,[Fe/H],243,1,1,2009,598.3,1.135,104.244,0.3,,,3700.0,,0.54,0.08,,10.3796,8.81875
GJ 667 C b,GJ 667 C,Radial Velocity,La Silla Observatory,M1.5 V,[Fe/H],244,3,5,2011,7.2004,0.0505,5.6,0.13,,,3350.0,,0.33,-0.55,4.69,7.24396,9.38033
GJ 667 C c,GJ 667 C,Radial Velocity,La Silla Observatory,M1.5 V,[Fe/H],245,3,5,2011,28.14,0.125,3.8,0.02,,,3350.0,,0.33,-0.55,4.69,7.24396,9.38033
GJ 667 C e,GJ 667 C,Radial Velocity,La Silla Observatory,M1.5 V,[Fe/H],246,3,5,2013,62.24,0.213,2.7,0.02,,,3350.0,,0.33,-0.55,4.69,7.24396,9.38033
GJ 667 C f,GJ 667 C,Radial Velocity,La Silla Observatory,M1.5 V,[Fe/H],247,3,5,2013,39.026,0.156,2.7,0.03,,,3350.0,,0.33,-0.55,4.69,7.24396,9.38033
GJ 667 C g,GJ 667 C,Radial Velocity,La Silla Observatory,M1.5 V,[Fe/H],248,3,5,2013,256.2,0.549,4.6,0.08,,,3350.0,,0.33,-0.55,4.69,7.24396,9.38033
GJ 674 b,GJ 674,Radial Velocity,La Silla Observatory,M2.5,[Fe/H],249,1,1,2007,4.6938,0.039,11.09,0.2,,,3600.0,,0.35,-0.28,,4.54896,8.33063
GJ 676 A b,GJ 676 A,Radial Velocity,La Silla Observatory,,[Fe/H],250,2,4,2010,1056.80005,1.82,1576.4368,0.33,,,3734.0,0.69,0.73,0.08,4.62,16.0272,8.86517
GJ 676 A c,GJ 676 A,Radial Velocity,Paranal Observatory,,,251,2,4,2016,7337.0,6.6,2161.244,,,,,,,,,16.0272,8.86517
GJ 676 A d,GJ 676 A,Radial Velocity,La Silla Observatory,,,252,2,4,2012,3.6005,,4.4,0.262,,,,,,,,16.0272,8.86517
GJ 676 A e,GJ 676 A,Radial Velocity,La Silla Observatory,,,253,2,4,2012,35.39,,8.1,0.125,,,,,,,,16.0272,8.86517
GJ 682 b,GJ 682,Radial Velocity,Multiple Observatories,M3.5 V,,254,1,2,2014,17.478,0.08,4.4,0.08,,,3028.0,,0.27,,,5.00671,9.57025
GJ 682 c,GJ 682,Radial Velocity,Multiple Observatories,M3.5 V,,255,1,2,2014,57.32,0.176,8.7,0.1,,,3028.0,,0.27,,,5.00671,9.57025
GJ 685 b,GJ 685,Radial Velocity,Qatar,M0.5,[Fe/H],256,1,1,2019,24.16,0.1344,9.0,0.0,,,3816.0,0.54,0.55,-0.15,4.72,14.3155,9.1671
GJ 687 b,GJ 687,Radial Velocity,Lick Observatory,,,257,1,2,2014,38.142,0.163,17.2,0.17,,,,,0.4,,,4.54939,8.02754
GJ 687 c,GJ 687,Radial Velocity,Multiple Observatories,,,258,1,2,2020,727.562,1.165,16.0,0.4,,,,,0.4,,,4.54939,8.02754
GJ 720 A b,GJ 720 A,Radial Velocity,Roque de los Muchachos Observatory,M0.5 V,[Fe/H],259,2,1,2021,19.466,0.119,13.64,0.12,,401.0,3837.0,0.56,0.57,-0.14,4.71,15.5575,9.10496
GJ 740 b,GJ 740,Radial Velocity,Multiple Observatories,M1.0 V,[Fe/H],260,1,1,2021,2.37756,0.029,2.96,0.24,79.0,829.0,3913.0,0.56,0.58,0.08,4.68,11.1017,8.45636
GJ 832 b,GJ 832,Radial Velocity,Anglo-Australian Telescope,,[Fe/H],261,1,2,2008,3657.0,3.56,216.0,0.08,,,3472.0,,0.45,-0.3,4.7,4.96435,7.73761
GJ 832 c,GJ 832,Radial Velocity,Multiple Observatories,,[Fe/H],262,1,2,2014,35.68,0.163,5.4,0.18,,,3472.0,,0.45,-0.3,4.7,4.96435,7.73761
GJ 849 b,GJ 849,Radial Velocity,W. M. Keck Observatory,M3.5,[Fe/H],263,1,2,2006,1915.0,,286.04557,,,,,,0.49,0.22,,8.80058,9.2245
GJ 849 c,GJ 849,Radial Velocity,W. M. Keck Observatory,M3.5,[Fe/H],264,1,2,2014,7068.0,,223.11554,,,,,,0.49,0.22,,8.80058,9.2245
GJ 86 b,GJ 86,Radial Velocity,La Silla Observatory,,[Fe/H],265,2,1,1999,15.76491,0.11,1404.8086,0.04,,,5182.0,0.77,0.93,-0.22,4.63,10.7836,5.88516
GJ 876 b,GJ 876,Radial Velocity,Multiple Observatories,,,266,1,4,1998,61.1166,0.208317,723.2235,0.0324,,,,0.3,0.32,,,4.67517,8.8753
GJ 876 c,GJ 876,Radial Velocity,Multiple Observatories,,,267,1,4,2000,30.0881,0.12959,226.9846,0.25591,,,,0.3,0.32,,,4.67517,8.8753
GJ 876 d,GJ 876,Radial Velocity,W. M. Keck Observatory,,,268,1,4,2005,1.93778,0.020807,6.83,0.207,,,,0.3,0.32,,,4.67517,8.8753
GJ 876 e,GJ 876,Radial Velocity,W. M. Keck Observatory,,,269,1,4,2010,124.26,0.3343,14.6,0.055,,,,0.3,0.32,,,4.67517,8.8753
GJ 887 b,GJ 887,Radial Velocity,La Silla Observatory,M1 V,[Fe/H],270,1,2,2020,9.262,0.068,4.2,0.0,7.95,468.0,3688.0,0.47,0.49,-0.06,4.78,3.29,
GJ 887 c,GJ 887,Radial Velocity,La Silla Observatory,M1 V,[Fe/H],271,1,2,2020,21.789,0.12,7.6,,2.56,352.0,3688.0,0.47,0.49,-0.06,4.78,3.29,
GJ 9066 b,GJ 9066,Radial Velocity,Multiple Observatories,M4.5 V,,272,1,2,2020,241.883,0.403,30.9,0.18,,,,,0.15,,,4.471,10.6711
GJ 9066 c,GJ 9066,Radial Velocity,Multiple Observatories,M4.5 V,,273,1,2,2020,767.887,0.87,71.6,0.33,,,,,0.15,,,4.471,10.6711
GJ 96 b,GJ 96,Radial Velocity,Haute-Provence Observatory,M2,[Fe/H],274,1,1,2018,73.94,0.291,19.66,0.44,,,3785.0,,0.6,0.14,,11.9315,8.63186
GJ 9689 b,GJ 9689,Radial Velocity,Roque de los Muchachos Observatory,M0.5,[Fe/H],275,1,1,2020,18.27,0.1139,9.65,0.29,,453.0,3836.0,0.57,0.59,0.05,4.69,30.6203,10.5372
GJ 9827 b,GJ 9827,Transit,K2,,[m/H],276,1,3,2017,1.2089819,0.0188,4.91,0.0,,,4340.0,0.6,0.61,-0.26,4.66,29.661,9.83773
GJ 9827 c,GJ 9827,Transit,K2,,[m/H],277,1,3,2017,3.6480957,0.03925,0.84,0.0,,,4340.0,0.6,0.61,-0.26,4.66,29.661,9.83773
GJ 9827 d,GJ 9827,Transit,K2,,[m/H],278,1,3,2017,6.2014698,0.05591,4.04,0.0,,,4340.0,0.6,0.61,-0.26,4.66,29.661,9.83773
GPX-1 b,GPX-1,Transit,Acton Sky Portal Observatory,F2,[Fe/H],279,1,1,2021,1.744579,0.0338,6261.21962,0.0,4650.0,2300.0,7000.0,1.56,1.68,0.35,4.27,655.013,12.2228
GQ Lup b,GQ Lup,Imaging,Paranal Observatory,K7e V,,280,1,1,2004,,100.0,6356.0,,,2650.0,,,0.7,,,151.169,11.2608
GSC 06214-00210 b,GSC 06214-00210,Imaging,Palomar Observatory,K7,,281,1,1,2010,,320.0,5000.0,,,2300.0,4200.0,,0.9,,,108.5,11.8633
GU Psc b,GU Psc,Imaging,Gemini Observatory,M3,[Fe/H],282,1,1,2014,,2000.0,3591.3,,,1050.0,,,0.33,0.1,,47.5501,12.9656
Gl 378 b,Gl 378,Radial Velocity,Haute-Provence Observatory,M1,[Fe/H],283,1,1,2019,3.822,0.039435,13.02,0.109,,830.0,3879.0,0.56,0.56,0.06,,14.9545,9.26515
Gl 49 b,Gl 49,Radial Velocity,Multiple Observatories,M1.5 V,[Fe/H],284,2,1,2019,13.8508,0.0905,5.63,0.363,,,3805.0,0.51,0.52,0.13,4.69,9.8528,8.66282
Gl 686 b,Gl 686,Radial Velocity,Roque de los Muchachos Observatory,,[Fe/H],285,1,1,2018,15.53,0.091,6.624,0.05,,,3656.0,0.43,0.43,-0.23,4.87,8.15728,8.73899
HAT-P-1 b,HAT-P-1,Transit,HATNet,,[Fe/H],286,2,1,2006,4.46529976,0.05561,166.86075,,,1322.0,5980.0,1.17,1.15,0.13,4.36,158.979,10.1786
HAT-P-11 b,HAT-P-11,Transit,HATNet,,[Fe/H],287,1,2,2008,4.88780244,0.05254,23.4,0.218,,,4780.0,0.68,0.81,0.31,,37.7647,9.15098
HAT-P-11 c,HAT-P-11,Radial Velocity,W. M. Keck Observatory,,[Fe/H],288,1,2,2018,3407.0,4.13,507.0,0.601,,,4780.0,0.68,0.81,0.31,,37.7647,9.15098
