Nazwa Planety,Gospodarz Planety,Metoda Odkrycia,Instytucja Odkrywająca,Typ Spektralny,Stosunek Metaliczności Gwiazdy,Nr,Liczba Gwiazd,Liczba Planet,Rok Odkrycia,Okres Orbitalny (dni),Pół Oś Orbity,Masa,Mimośród,Strumień Insolacji,Temperatura Równowagi,Efektywna Temperatura Gwiazdy,Promień Gwiazdy,Masa Gwiazdy,Metaliczność Gwiazdy,Grawitacja Powierzchniowa Gwiazdy,Odległość,Wielkość Magnitudo (Gaia)
HD 7924 d,HD 7924,Radial Velocity,W. M. Keck Observatory,K0.5 V,[Fe/H],993,1,3,2015,24.451,0.1551,6.44,0.21,15.17,499.0,5075.0,0.78,0.83,-0.15,4.59,16.9922,6.92516
HD 79498 b,HD 79498,Radial Velocity,McDonald Observatory,G5,[Fe/H],994,2,1,2011,1807.0,2.98,425.8922,0.575,,,5748.0,1.05,1.08,0.18,,48.9489,7.8859
HD 80606 b,HD 80606,Radial Velocity,Multiple Observatories,,[Fe/H],995,2,1,2001,111.4367,,1392.0954,0.93,,,5561.0,1.04,1.15,0.35,4.42,66.4711,8.82008
HD 80653 b,HD 80653,Transit,K2,G2,,996,1,1,2020,0.719573,0.0166,5.6,,,,,1.22,1.18,,4.34,109.86,9.30733
HD 80869 b,HD 80869,Radial Velocity,Haute-Provence Observatory,G1 V,[Fe/H],997,1,1,2021,1711.7,2.878,1544.64606,0.862,0.14,203.0,5837.0,1.06,1.08,0.17,4.18,85.3951,8.33173
HD 81040 b,HD 81040,Radial Velocity,Multiple Observatories,,[Fe/H],998,1,1,2005,1001.70001,1.94,2310.6241,0.53,,,5755.0,0.91,1.05,-0.03,4.54,34.4341,7.55543
HD 81688 b,HD 81688,Radial Velocity,Okayama Astrophysical Observatory,,[Fe/H],999,1,1,2007,184.02,0.81,858.1,0.0,,,4753.0,13.0,2.1,-0.359,2.22,85.7183,5.12598
HD 81817 b,HD 81817,Radial Velocity,Bohyunsan Optical Astronomical Observatory,K3 III,[Fe/H],1000,1,1,2020,1047.1,3.3,8613.193,0.17,,,4140.0,83.8,4.3,-0.17,1.3,269.126,3.80122
HD 82886 b,HD 82886,Radial Velocity,W. M. Keck Observatory,,[Fe/H],1001,1,1,2011,705.0,1.58,740.5439,0.07,,,4953.0,5.26,2.53,-0.31,3.4,127.061,7.38096
HD 82943 b,HD 82943,Radial Velocity,La Silla Observatory,,[M/H],1002,1,2,2003,441.47,1.18306,534.25,0.162,,,5935.0,1.18,1.08,0.26,4.33,27.5902,6.38964
